"","Channel.Islands","East.Midlands","Greater.London","Isle.of.Man","Non.geographic","North.East","North.West","Northern.Ireland","Scotland","South.East","South.West","Wales","West.Midlands"
"1552",0,0,0,0,0,0,0,0,0,0,0,0,0
"1638",0,0,0,0,0,0,0,0,0,0,0,0,0
"1701",0,0,0,0,0,0,0,0,0,0,0,0,0
"1813",0,0,0,0,0,0,0,0,0,0,0,0,0
"1832",0,0,0,0,0,0,0,0,0,0,0,1,0
"1856",0,0,4,0,0,0,0,0,0,3,0,0,0
"1857",0,0,1,0,0,0,0,0,0,0,0,0,0
"1859",0,0,0,0,0,0,0,0,0,1,0,0,0
"1860",0,0,0,0,0,1,0,0,1,1,0,0,0
"1861",0,0,0,0,0,0,1,0,0,2,0,0,0
"1862",0,0,4,0,0,0,0,0,0,2,0,0,0
"1863",0,0,3,0,0,1,0,0,0,2,1,0,0
"1864",0,1,6,0,0,0,1,0,0,2,0,0,2
"1865",0,1,2,0,0,0,2,0,0,3,1,0,0
"1866",0,1,2,0,0,0,2,0,0,1,0,0,1
"1867",0,1,0,0,0,1,0,1,1,0,0,0,0
"1868",0,0,1,0,0,0,1,0,0,0,1,0,1
"1869",0,0,0,0,0,0,4,2,0,2,0,0,0
"1870",0,0,2,0,0,1,2,0,0,1,0,0,1
"1871",0,0,2,0,0,2,3,0,2,2,2,0,3
"1872",0,0,7,0,0,1,1,0,0,2,1,0,2
"1873",0,3,5,0,0,1,5,0,1,1,0,0,1
"1874",0,1,3,0,0,0,3,0,1,1,1,0,3
"1875",0,6,2,0,0,2,4,0,1,2,1,0,2
"1876",0,2,4,0,0,0,3,0,1,0,0,1,2
"1877",0,4,4,0,0,0,6,1,3,2,1,0,0
"1878",0,2,2,0,0,0,3,2,0,6,1,0,2
"1879",0,2,8,0,0,1,2,0,3,1,0,1,3
"1880",0,2,6,0,0,0,2,0,2,2,1,0,2
"1881",0,3,9,0,0,1,4,2,1,2,0,2,1
"1882",0,1,4,0,0,1,6,0,2,3,2,0,2
"1883",0,2,2,0,0,1,7,1,4,6,2,3,2
"1884",0,5,7,0,0,3,6,3,4,4,4,2,1
"1885",0,3,8,0,0,2,6,2,2,3,0,3,5
"1886",0,5,16,0,0,2,4,1,1,6,1,3,1
"1887",0,4,8,0,0,6,4,1,4,11,4,1,5
"1888",0,6,21,0,0,2,6,0,4,10,0,1,4
"1889",0,8,15,0,0,4,8,0,5,14,4,2,4
"1890",0,7,17,0,0,4,8,2,8,15,5,1,8
"1891",0,8,8,0,0,6,13,1,3,12,5,0,7
"1892",0,9,17,0,0,2,8,1,5,10,0,0,8
"1893",0,10,22,0,0,9,12,0,5,7,9,0,10
"1894",0,4,19,0,0,6,12,0,5,19,6,1,11
"1895",0,7,23,0,0,7,17,0,7,11,8,0,3
"1896",0,10,35,0,0,11,14,1,11,20,9,3,11
"1897",0,19,41,0,0,8,22,2,13,29,10,1,12
"1898",0,14,53,0,0,14,22,7,13,12,10,5,17
"1899",0,19,35,0,0,9,17,4,9,21,4,1,15
"1900",0,16,58,0,0,24,25,2,45,32,10,2,26
"1901",0,11,24,0,0,6,11,6,10,20,5,0,12
"1902",0,4,22,0,0,8,27,3,14,14,7,3,11
"1903",0,10,33,0,0,8,15,3,11,15,8,3,16
"1904",0,14,29,0,0,14,17,2,15,19,3,2,14
"1905",0,15,40,0,0,12,16,1,13,21,8,4,15
"1906",0,16,38,0,0,10,19,6,10,22,7,5,11
"1907",0,17,37,0,0,18,26,3,16,21,6,3,17
"1908",0,20,41,0,0,11,28,3,17,20,11,2,18
"1909",0,20,60,0,0,12,21,4,12,27,9,1,22
"1910",0,27,50,0,0,14,22,1,11,30,8,5,25
"1911",0,26,49,0,0,14,29,6,14,20,9,8,17
"1912",0,16,47,0,0,19,30,6,10,31,4,6,24
"1913",0,24,44,0,0,26,27,6,14,31,10,4,25
"1914",0,33,44,0,0,14,30,4,11,27,6,4,18
"1915",0,16,40,0,0,13,20,4,11,20,7,0,17
"1916",0,10,30,0,0,7,19,3,8,19,6,2,18
"1917",0,20,43,0,0,9,20,5,9,14,7,0,15
"1918",0,12,35,0,0,13,19,6,8,15,6,2,17
"1919",0,43,98,0,0,36,47,8,33,60,15,10,42
"1920",0,54,124,0,0,50,92,10,26,65,26,9,52
"1921",0,38,74,0,0,19,53,5,21,41,12,6,33
"1922",0,39,69,0,0,29,48,6,28,39,21,12,27
"1923",0,46,85,0,0,41,57,6,20,49,13,12,38
"1924",0,30,79,0,0,43,56,14,34,42,19,8,36
"1925",0,34,95,0,0,37,47,6,26,49,17,11,32
"1926",0,41,91,0,0,25,54,10,26,60,16,17,34
"1927",0,35,99,1,0,23,54,6,32,62,24,9,40
"1928",0,52,112,1,0,30,46,7,39,61,27,4,43
"1929",0,54,125,2,0,19,49,5,19,65,33,8,47
"1930",0,53,110,0,0,29,48,5,24,70,29,4,39
"1931",0,45,108,0,0,32,58,4,14,57,24,6,32
"1932",0,48,113,0,0,33,53,4,18,68,21,6,48
"1933",0,56,135,0,0,35,64,7,25,95,32,11,55
"1934",0,71,155,0,0,34,66,8,36,96,43,10,63
"1935",0,70,190,0,0,46,77,10,31,121,38,11,82
"1936",0,90,180,0,0,61,71,13,43,106,41,9,75
"1937",0,90,182,0,0,61,81,11,25,128,42,12,52
"1938",0,83,179,0,0,49,81,8,29,109,36,16,62
"1939",0,72,161,0,0,33,72,11,39,108,32,12,61
"1940",0,40,75,0,0,27,53,10,21,65,18,9,44
"1941",0,70,88,0,0,28,55,7,23,69,32,5,67
"1942",0,50,74,0,0,39,50,9,18,57,19,9,69
"1943",0,59,77,0,0,32,39,11,26,53,33,15,62
"1944",0,67,104,0,0,26,50,10,25,73,28,14,58
"1945",0,77,154,0,0,48,81,16,40,114,42,23,69
"1946",0,214,336,0,0,103,163,24,78,247,91,39,134
"1947",0,180,301,0,0,83,155,19,73,231,102,36,153
"1948",0,142,232,0,0,65,113,15,52,165,65,27,116
"1949",0,131,233,0,0,56,105,16,51,159,62,21,118
"1950",0,122,236,0,0,67,120,22,50,159,63,35,100
"1951",0,134,222,0,0,71,110,20,42,160,72,24,98
"1952",0,128,216,0,0,51,123,17,49,152,54,18,94
"1953",0,115,256,0,0,63,135,21,53,179,64,39,96
"1954",0,211,282,0,0,102,146,26,74,233,104,39,149
"1955",0,179,356,0,0,75,160,30,71,255,92,41,115
"1956",0,194,340,0,0,102,161,30,66,265,113,41,120
"1957",0,216,406,0,0,100,160,23,87,313,120,40,169
"1958",0,222,520,0,0,73,180,32,75,380,141,51,176
"1959",0,281,691,0,0,143,216,39,95,448,200,69,224
"1960",0,335,741,0,0,172,268,46,138,500,227,80,245
"1961",0,342,731,0,0,162,277,46,111,508,239,88,242
"1962",0,318,818,0,0,161,268,41,108,536,261,84,235
"1963",0,334,928,0,0,183,339,58,142,626,264,91,307
"1964",0,436,954,0,0,220,374,53,171,678,307,127,306
"1965",0,367,677,0,0,170,279,63,131,515,217,97,277
"1966",0,248,605,1,0,110,220,38,96,423,142,57,186
"1967",0,265,679,0,0,126,237,48,78,445,182,64,201
"1968",0,244,514,0,0,113,189,48,96,412,125,45,174
"1969",0,276,682,0,0,127,208,42,103,438,150,43,206
"1970",0,306,823,1,0,163,281,46,115,552,209,72,236
"1971",1,398,981,0,0,188,369,137,143,731,284,102,320
"1972",1,518,1233,0,0,274,493,60,228,853,358,143,346
"1973",0,680,1432,0,0,308,556,114,241,980,479,157,474
"1974",1,487,987,0,0,243,437,82,213,749,347,125,350
"1975",0,504,1045,0,0,280,457,101,238,766,378,129,461
"1976",0,641,1309,0,0,319,564,134,249,955,439,160,435
"1977",0,718,1453,0,0,311,537,143,266,1017,443,145,473
"1978",1,738,1679,1,0,360,677,182,324,1186,538,187,539
"1979",0,713,1675,1,0,317,642,127,323,1097,522,191,493
"1980",1,722,1874,1,0,356,642,98,293,1184,576,182,548
"1981",1,827,2218,0,0,384,803,124,318,1363,679,211,635
"1982",0,951,2437,1,0,496,975,174,441,1659,845,259,860
"1983",1,1014,2740,0,0,483,996,152,469,1794,906,270,836
"1984",1,1095,2911,0,0,528,1021,178,526,2094,916,285,844
"1985",0,1178,3293,0,0,564,1097,222,611,2108,1017,311,867
"1986",3,1345,3881,2,0,741,1355,235,731,2672,1227,352,1015
"1987",2,1564,4204,0,0,794,1371,294,678,2977,1406,427,1134
"1988",0,1638,4275,0,0,804,1369,275,801,3062,1452,434,1232
"1989",4,1606,4122,2,0,794,1478,278,760,3228,1414,442,1233
"1990",1,1592,3937,2,0,735,1532,269,854,2912,1345,447,1181
"1991",3,1526,4158,2,0,799,1488,305,829,3053,1280,429,1154
"1992",4,1620,4262,3,0,787,1439,260,868,3174,1307,452,1218
"1993",12,1858,5118,6,0,796,1599,276,969,3511,1393,444,1293
"1994",9,2039,5613,1,0,933,1915,314,1153,4229,1600,586,1539
"1995",3,2364,6530,0,0,1128,2237,386,1185,4834,1905,646,1721
"1996",5,2888,7767,183,0,1411,2622,480,1538,5669,2298,804,2050
"1997",9,3586,9318,28,0,1580,3125,514,1882,6936,2923,907,2556
"1998",16,3863,10084,9,0,1747,3501,614,2042,7772,3092,1032,2808
"1999",18,4556,11895,3,0,2007,4056,770,2246,8470,3568,1208,3255
"2000",37,5314,13178,4,0,2431,4923,800,2715,9560,3985,1366,3772
"2001",50,5598,13034,4,0,2642,5185,908,3108,9782,4294,1466,3790
"2002",17,9564,17341,4,0,4357,9148,1093,4216,14684,7364,2643,6352
"2003",27,12736,21255,1,0,6158,12128,1709,6035,18848,9592,3869,8339
"2004",45,9052,20451,4,0,4517,8786,1489,4775,15337,6804,2908,6798
"2005",104,9816,22554,22,0,4592,9530,1792,5039,16820,7329,3038,7612
"2006",78,11173,26418,2,0,5381,10955,1965,5669,18884,8596,3416,9088
"2007",72,12506,29796,7,0,6485,15678,1967,6865,21794,9642,3726,9765
"2008",74,11854,27720,2,0,5882,12110,1374,6230,20036,8352,3457,9233
"2009",27,13343,32864,13,0,6566,13716,1482,6721,23048,9307,3588,9896
"2010",54,15708,42195,5,0,7966,16711,2040,8888,28451,11667,4510,11826
"2011",90,19589,52201,2,0,10012,20510,2718,11423,34086,14200,5281,14401
"2012",58,22759,63617,11,0,11590,24826,3231,13849,39415,15987,6364,16672
"2013",54,26794,78754,12,1,13539,29206,3665,16696,45999,18434,7643,19711
"2014",77,33952,101574,27,0,18116,37364,4393,19811,56398,22386,9269,25625
"2015",104,39415,124973,14,1,20152,44217,5525,24168,64539,25597,10915,29934
"2016",137,48587,167085,19,0,24916,60890,6358,29672,78621,31000,14511,43532
"2017",90,59575,217508,17,1,30079,76368,7351,33793,91428,36453,18293,54730
"2018",7,10204,40301,3,0,5433,13966,1427,5805,15946,6368,2964,9506
